observation_date,MEXCPIENGMINMEI
1986-05-01,0.725652100000000022
1986-06-01,0.742903800000000003
1986-07-01,0.759543900000000050
1986-08-01,0.929756499999999986
1986-09-01,1.002490000000000103
1986-10-01,1.037085999999999952
1986-11-01,1.151418000000000053
1986-12-01,1.258631000000000055
1987-01-01,1.297981000000000051
1987-02-01,1.314105000000000079
1987-03-01,1.327075000000000005
1987-04-01,1.652802000000000104
1987-05-01,1.681295999999999902
1987-06-01,1.696895999999999960
1987-07-01,1.804550000000000098
1987-08-01,2.138179000000000052
1987-09-01,2.148768999999999707
1987-10-01,2.179108000000000267
1987-11-01,2.199136000000000202
1987-12-01,3.161588000000000065
1988-01-01,3.975989000000000217
1988-02-01,4.030456000000000039
1988-03-01,4.034811000000000369
1988-04-01,4.028723000000000276
1988-05-01,4.014751000000000403
1988-06-01,4.016573000000000171
1988-07-01,4.017044999999999533
1988-08-01,4.018735999999999642
1988-09-01,4.018867000000000189
1988-10-01,4.039995999999999476
1988-11-01,4.056186000000000291
1988-12-01,4.056938999999999851
1989-01-01,4.058194000000000301
1989-02-01,4.062233999999999234
1989-03-01,4.063541000000000736
1989-04-01,4.044705999999999690
1989-05-01,4.028556000000000026
1989-06-01,4.029363000000000028
1989-07-01,4.029358999999999469
1989-08-01,4.030005000000000059
1989-09-01,4.067234000000000016
1989-10-01,4.252131999999999579
1989-11-01,4.362122000000000277
1989-12-01,4.628254000000000090
1990-01-01,4.684998999999999469
1990-02-01,4.687227000000000032
1990-03-01,4.692444999999999311
1990-04-01,4.661287999999999876
1990-05-01,4.675799999999999734
1990-06-01,5.041381999999999586
1990-07-01,5.064098000000000432
1990-08-01,5.079712000000000671
1990-09-01,5.120892999999999695
1990-10-01,5.201838999999999658
1990-11-01,5.737509999999999444
1990-12-01,6.055513999999999619
1991-01-01,6.062183000000000099
1991-02-01,6.160639999999999894
1991-03-01,6.292463999999999835
1991-04-01,6.248286000000000229
1991-05-01,6.213776000000000188
1991-06-01,6.224273999999999418
1991-07-01,6.229398999999999909
1991-08-01,6.237892999999999688
1991-09-01,6.251644000000000645
1991-10-01,6.308609999999999829
1991-11-01,7.592303000000000246
1991-12-01,8.264349000000001055
1992-01-01,8.277122000000000313
1992-02-01,8.291233000000000075
1992-03-01,8.335450999999999055
1992-04-01,8.314189000000000718
1992-05-01,8.319494999999999862
1992-06-01,8.379532000000001091
1992-07-01,8.422966000000000619
1992-08-01,8.462899000000000171
1992-09-01,8.488644999999999996
1992-10-01,8.598674000000000817
1992-11-01,8.734360000000000568
1992-12-01,8.830374000000000834
1993-01-01,8.957849000000001283
1993-02-01,9.082537000000000305
1993-03-01,9.182888000000000162
1993-04-01,9.212040000000000006
1993-05-01,9.248582999999999998
1993-06-01,9.340562000000000253
1993-07-01,9.429593999999999809
1993-08-01,9.523899999999999366
1993-09-01,9.624143000000000114
1993-10-01,9.759156000000000830
1993-11-01,9.937514000000000181
1993-12-01,10.014269999999999783
1994-01-01,10.097099999999999298
1994-02-01,10.180139999999999745
1994-03-01,10.293189999999999173
1994-04-01,10.320349999999999469
1994-05-01,10.344060000000000699
