observation_date,MEXCPGRSE01GYM
1979-06-01,19.0626899999999999
1979-07-01,18.9900700000000029
1979-08-01,19.1230699999999985
1979-09-01,18.8545000000000016
1979-10-01,18.9265200000000000
1979-11-01,19.4236900000000006
1979-12-01,21.0530900000000010
1980-01-01,23.7045600000000007
1980-02-01,24.3354999999999997
1980-03-01,24.8050700000000006
1980-04-01,25.8729599999999991
1980-05-01,26.7224900000000041
1980-06-01,26.7094799999999992
1980-07-01,27.7572900000000011
1980-08-01,28.2825500000000005
1980-09-01,28.5169599999999974
1980-10-01,29.6041999999999987
1980-11-01,30.2716400000000014
1980-12-01,30.8757599999999961
1981-01-01,28.7450499999999991
1981-02-01,29.7027700000000010
1981-03-01,30.1997999999999998
1981-04-01,30.9314399999999985
1981-05-01,30.9246100000000013
1981-06-01,31.3467799999999990
1981-07-01,31.0840299999999985
1981-08-01,31.3149900000000017
1981-09-01,31.6760599999999961
1981-10-01,31.6013400000000040
1981-11-01,31.9356900000000010
1981-12-01,32.4211999999999989
1982-01-01,32.5437599999999989
1982-02-01,34.8820900000000051
1982-03-01,36.6330900000000028
1982-04-01,40.0921299999999974
1982-05-01,45.5963599999999971
1982-06-01,51.9754599999999982
1982-07-01,56.3832000000000022
1982-08-01,66.5636099999999971
1982-09-01,70.7425400000000053
1982-10-01,73.4449999999999932
1982-11-01,76.9838900000000024
1982-12-01,85.4122500000000002
1983-01-01,100.3046999999999969
1983-02-01,99.0302199999999999
1983-03-01,98.5533499999999947
1983-04-01,98.3626900000000006
1983-05-01,94.6914799999999985
1983-06-01,91.0196200000000033
1983-07-01,90.6232399999999956
1983-08-01,82.8764199999999960
1983-09-01,80.9947900000000089
1983-10-01,78.9145099999999786
1983-11-01,78.6918000000000006
1983-12-01,73.0649900000000230
1984-01-01,63.8422499999999999
1984-02-01,65.8717000000000041
1984-03-01,66.2326800000000020
1984-04-01,62.5658699999999968
1984-05-01,61.1742199999999983
